date,insulated_jacket,base_layer,winter_gloves,wool_socks,beanie,isPartial
2021-12-26,9,15,21,14,55,False
2022-01-02,0,10,7,6,42,False
2022-01-09,6,5,4,6,33,False
2022-01-16,5,4,0,4,28,False
2022-01-23,3,6,0,0,22,False
2022-01-30,0,3,0,0,22,False
2022-02-06,0,5,0,0,24,False
2022-02-13,3,4,0,0,19,False
2022-02-20,0,4,0,0,27,False
2022-02-27,0,5,0,3,25,False
2022-03-06,0,4,0,3,15,False
2022-03-13,0,0,0,4,17,False
2022-03-20,5,4,0,3,17,False
2022-03-27,0,0,0,0,15,False
2022-04-03,0,2,0,0,17,False
2022-04-10,3,3,0,0,17,False
2022-04-17,3,4,0,0,17,False
2022-04-24,3,0,0,0,18,False
2022-05-01,0,0,0,0,15,False
2022-05-08,0,4,0,0,14,False
2022-05-15,0,0,0,4,15,False
2022-05-22,0,0,0,0,12,False
2022-05-29,0,3,0,0,14,False
2022-06-05,0,0,0,0,12,False
2022-06-12,0,0,0,0,14,False
2022-06-19,0,0,0,0,15,False
2022-06-26,0,0,0,0,12,False
2022-07-03,0,0,0,0,12,False
2022-07-10,0,0,0,0,23,False
2022-07-17,0,0,0,0,15,False
2022-07-24,0,0,0,0,14,False
2022-07-31,0,3,0,0,17,False
2022-08-07,0,0,0,0,12,False
2022-08-14,0,0,0,0,12,False
2022-08-21,0,0,0,0,12,False
2022-08-28,0,0,0,0,16,False
2022-09-04,0,4,0,0,16,False
2022-09-11,0,3,0,0,21,False
2022-09-18,0,3,4,3,17,False
2022-09-25,0,0,0,0,19,False
2022-10-02,5,3,0,0,19,False
2022-10-09,0,4,4,0,21,False
2022-10-16,0,4,3,3,25,False
2022-10-23,8,7,4,9,34,False
2022-10-30,10,10,9,5,36,False
2022-11-06,8,15,14,11,43,False
2022-11-13,8,13,10,8,38,False
2022-11-20,9,14,9,11,43,False
2022-11-27,7,15,16,11,52,False
2022-12-04,5,10,10,10,43,False
2022-12-11,5,11,6,6,47,False
2022-12-18,6,12,18,10,50,False
2022-12-25,6,12,5,0,45,False
