date,rain_jacket,waterproof_boots,rain_pants,umbrella,rubber_boots,isPartial
2021-12-26,4,9,1,9,3,False
2022-01-02,4,7,0,12,2,False
2022-01-09,4,5,2,15,2,False
2022-01-16,3,3,1,13,2,False
2022-01-23,3,2,0,10,1,False
2022-01-30,3,2,0,13,1,False
2022-02-06,4,2,0,13,1,False
2022-02-13,3,2,1,12,1,False
2022-02-20,3,2,1,14,1,False
2022-02-27,4,1,1,16,1,False
2022-03-06,4,1,1,14,1,False
2022-03-13,5,2,2,18,2,False
2022-03-20,5,2,1,17,2,False
2022-03-27,4,2,1,21,1,False
2022-04-03,5,1,1,18,1,False
2022-04-10,4,1,1,18,2,False
2022-04-17,5,1,1,19,1,False
2022-04-24,4,2,1,20,1,False
2022-05-01,7,1,1,19,1,False
2022-05-08,6,1,2,19,1,False
2022-05-15,5,1,1,20,1,False
2022-05-22,4,0,1,26,1,False
2022-05-29,5,0,1,25,0,False
2022-06-05,6,1,1,25,1,False
2022-06-12,5,1,1,23,1,False
2022-06-19,3,0,0,71,0,False
2022-06-26,3,1,0,100,0,False
2022-07-03,5,1,1,56,1,False
2022-07-10,2,0,0,41,0,False
2022-07-17,3,0,0,35,1,False
2022-07-24,1,0,0,36,0,False
2022-07-31,2,1,0,30,0,False
2022-08-07,3,1,1,27,0,False
2022-08-14,3,1,0,22,0,False
2022-08-21,3,2,0,22,0,False
2022-08-28,5,2,0,17,1,False
2022-09-04,7,4,1,17,1,False
2022-09-11,7,3,2,14,1,False
2022-09-18,8,2,1,14,1,False
2022-09-25,6,3,1,13,1,False
2022-10-02,5,2,1,12,0,False
2022-10-09,4,2,1,12,1,False
2022-10-16,6,4,1,14,1,False
2022-10-23,20,9,5,22,4,False
2022-10-30,15,9,5,20,4,False
2022-11-06,7,9,2,15,3,False
2022-11-13,5,6,1,13,2,False
2022-11-20,7,6,2,14,2,False
2022-11-27,5,5,1,13,1,False
2022-12-04,3,4,1,14,1,False
2022-12-11,3,3,0,11,1,False
2022-12-18,2,8,1,11,2,False
2022-12-25,7,7,1,13,2,False
2023-01-01,5,2,0,13,1,False
2023-01-08,6,2,0,16,1,False
2023-01-15,6,2,2,15,2,False
2023-01-22,4,2,0,13,2,False
2023-01-29,3,2,1,11,1,False
2023-02-05,5,2,2,15,2,False
2023-02-12,4,2,1,17,1,False
2023-02-19,3,2,0,12,1,False
2023-02-26,3,2,1,14,1,False
2023-03-05,3,1,0,13,1,False
2023-03-12,4,1,1,12,1,False
2023-03-19,4,1,0,16,2,False
2023-03-26,4,1,0,15,0,False
2023-04-02,5,1,1,17,2,False
2023-04-09,7,1,1,16,0,False
2023-04-16,8,1,1,18,1,False
2023-04-23,5,1,0,17,1,False
2023-04-30,4,0,0,20,0,False
2023-05-07,2,1,0,23,1,False
2023-05-14,1,0,0,29,2,False
2023-05-21,2,1,0,22,0,False
2023-05-28,2,0,0,20,0,False
2023-06-04,3,0,0,21,0,False
2023-06-11,2,1,0,18,1,False
2023-06-18,4,0,0,16,1,False
2023-06-25,1,1,0,18,0,False
2023-07-02,1,0,0,21,0,False
2023-07-09,2,0,0,17,1,False
2023-07-16,2,1,0,18,0,False
2023-07-23,5,1,1,16,0,False
2023-07-30,2,1,0,16,0,False
2023-08-06,5,2,2,15,1,False
2023-08-13,4,2,0,14,1,False
2023-08-20,4,2,1,14,0,False
2023-08-27,8,3,2,13,0,False
2023-09-03,7,4,2,14,1,False
2023-09-10,6,3,2,11,1,False
2023-09-17,10,4,2,15,1,False
2023-09-24,15,6,4,15,3,False
2023-10-01,9,4,2,12,2,False
2023-10-08,10,4,3,13,2,False
2023-10-15,18,7,3,19,3,False
2023-10-22,9,5,2,13,2,False
2023-10-29,8,5,1,11,2,False
2023-11-05,9,6,2,14,2,False
2023-11-12,6,5,1,13,2,False
2023-11-19,6,6,2,11,2,False
2023-11-26,5,4,2,10,2,False
2023-12-03,8,6,3,14,2,False
2023-12-10,6,5,1,14,1,False
2023-12-17,4,3,0,10,2,False
2023-12-24,7,3,1,11,1,False
2023-12-31,5,3,1,12,1,False
2024-01-07,5,3,2,11,1,False
2024-01-14,4,5,1,11,2,False
2024-01-21,8,4,2,15,2,False
2024-01-28,6,3,1,13,1,False
2024-02-04,4,2,0,11,2,False
2024-02-11,4,0,1,13,1,False
2024-02-18,4,2,0,13,0,False
2024-02-25,4,1,1,13,1,False
2024-03-03,5,1,1,13,1,False
2024-03-10,3,1,0,12,1,False
2024-03-17,4,1,1,15,2,False
2024-03-24,6,2,0,16,1,False
2024-03-31,4,1,1,13,1,False
2024-04-07,5,1,0,14,0,False
2024-04-14,3,0,1,14,1,False
2024-04-21,6,1,2,17,0,False
2024-04-28,7,1,2,17,1,False
2024-05-05,3,0,0,18,0,False
2024-05-12,3,1,0,19,0,False
2024-05-19,7,1,2,21,1,False
2024-05-26,9,1,1,19,1,False
2024-06-02,7,1,1,20,0,False
2024-06-09,5,0,0,19,1,False
2024-06-16,4,1,0,18,0,False
2024-06-23,4,1,0,17,0,False
2024-06-30,4,0,0,20,0,False
2024-07-07,1,0,0,28,0,False
2024-07-14,2,0,0,24,1,False
2024-07-21,3,0,0,18,0,False
2024-07-28,5,1,1,21,0,False
2024-08-04,4,1,0,41,0,False
2024-08-11,6,2,1,50,1,False
2024-08-18,14,3,2,34,2,False
2024-08-25,11,3,2,27,1,False
2024-09-01,7,3,1,20,1,False
2024-09-08,13,3,2,21,1,False
2024-09-15,10,3,3,15,1,False
2024-09-22,19,5,4,19,1,False
2024-09-29,14,5,2,15,2,False
2024-10-06,10,4,1,13,1,False
2024-10-13,15,7,3,17,2,False
2024-10-20,19,8,4,16,2,False
2024-10-27,13,6,3,15,2,False
2024-11-03,10,6,2,12,2,False
2024-11-10,11,5,2,16,2,False
2024-11-17,10,8,2,13,2,False
2024-11-24,10,7,2,11,1,False
2024-12-01,6,4,0,11,2,False
2024-12-08,6,4,1,10,1,False
2024-12-15,6,5,0,12,2,False
2024-12-22,8,6,1,11,2,False
2024-12-29,9,5,1,12,0,False
2025-01-05,5,3,1,10,2,False
2025-01-12,3,2,1,9,0,False
2025-01-19,4,2,0,10,2,False
2025-01-26,4,2,1,11,1,False
2025-02-02,4,3,0,10,1,False
2025-02-09,4,2,0,8,1,False
2025-02-16,6,2,2,12,1,False
2025-02-23,6,2,1,12,1,False
2025-03-02,4,1,1,11,1,False
2025-03-09,9,2,2,14,0,False
2025-03-16,8,2,1,12,0,False
2025-03-23,10,1,2,15,1,False
2025-03-30,6,2,0,12,1,False
2025-04-06,8,1,1,15,2,False
2025-04-13,3,2,0,14,1,False
2025-04-20,3,0,0,14,0,False
2025-04-27,3,1,1,14,0,False
2025-05-04,3,0,0,16,0,False
2025-05-11,6,0,1,17,0,False
2025-05-18,6,0,0,17,1,False
2025-05-25,6,1,1,16,1,False
2025-06-01,3,0,0,16,0,False
2025-06-08,3,0,0,20,0,False
2025-06-15,4,0,0,15,0,False
2025-06-22,5,1,1,14,0,False
2025-06-29,3,1,0,21,0,False
2025-07-06,5,1,1,20,0,False
2025-07-13,4,0,0,20,1,False
2025-07-20,3,1,0,19,0,False
2025-07-27,3,0,1,16,0,False
2025-08-03,7,1,0,14,0,False
2025-08-10,10,3,3,16,0,False
2025-08-17,9,2,2,14,1,False
2025-08-24,7,2,1,15,0,False
2025-08-31,8,3,1,12,1,False
2025-09-07,8,3,1,12,1,False
2025-09-14,12,3,2,12,2,False
2025-09-21,11,4,3,12,2,False
2025-09-28,22,7,5,17,2,False
2025-10-05,12,5,2,12,2,False
2025-10-12,12,5,2,10,2,False
2025-10-19,17,7,3,15,3,False
2025-10-26,14,7,3,18,2,False
2025-11-02,12,7,2,14,2,False
2025-11-09,12,8,1,13,2,False
2025-11-16,10,6,2,14,2,False
2025-11-23,15,9,4,16,2,False
2025-11-30,9,6,3,14,2,False
2025-12-07,12,7,4,17,1,False
2025-12-14,12,7,3,17,3,False
2025-12-21,9,7,2,11,1,False
2025-12-28,7,5,1,11,1,False
