"week_start","average_temp_max","average_temp_min","average_temp_mean","total_rain"
"2022-01-02",2.8,-1.2,0.8,49.4
"2022-01-09",8.6,4.1,6.2,65.8
"2022-01-16",7.5,4.2,5.6,25.2
"2022-01-23",4.6,0.5,2.2,4.7
"2022-01-30",5.6,2.0,3.7,35.3
"2022-02-06",8.4,2.9,5.4,5.6
"2022-02-13",8.5,3.1,5.6,1.8
"2022-02-20",4.9,-2.4,1.0,8.2
"2022-02-27",9.9,5.1,7.2,73.8
"2022-03-06",8.2,1.7,4.6,9.8
"2022-03-13",8.9,4.6,6.6,42.1
"2022-03-20",10.2,4.5,7.3,31.4
"2022-03-27",11.3,5.7,8.3,0.9
"2022-04-03",10.4,4.6,7.6,30.4
"2022-04-10",9.5,1.6,5.4,0.5
"2022-04-17",12.3,3.7,7.9,10.6
"2022-04-24",13.2,4.9,8.9,5.2
"2022-05-01",12.7,6.5,9.5,13.1
"2022-05-08",12.6,5.7,9.0,9.5
"2022-05-15",14.9,7.2,11.0,37.3
"2022-05-22",17.2,9.3,13.2,35.8
"2022-05-29",18.0,11.3,14.5,47.2
"2022-06-05",18.3,11.4,14.6,16.7
"2022-06-12",18.0,10.8,14.1,3.3
"2022-06-19",20.8,11.5,16.1,0.0
"2022-06-26",23.8,14.1,19.0,0.0
"2022-07-03",20.4,13.9,16.7,37.6
"2022-07-10",23.9,14.5,19.0,0.4
"2022-07-17",22.5,13.9,18.2,0.4
"2022-07-24",29.5,17.7,23.4,0.0
"2022-07-31",23.9,15.7,19.6,0.4
"2022-08-07",24.5,15.7,20.0,0.0
"2022-08-14",26.4,16.3,21.3,0.0
"2022-08-21",24.5,16.5,20.3,0.0
"2022-08-28",26.0,15.1,20.2,0.0
"2022-09-04",21.9,12.3,16.9,3.6
"2022-09-11",20.8,12.8,16.3,0.0
"2022-09-18",20.7,10.8,15.2,0.0
"2022-09-25",21.8,11.8,16.0,0.7
"2022-10-02",21.0,10.5,15.1,0.0
"2022-10-09",18.4,8.4,12.8,0.0
"2022-10-16",15.8,7.8,11.3,0.8
"2022-10-23",10.9,6.4,8.6,95.6
"2022-10-30",8.6,4.1,6.2,93.6
"2022-11-06",5.4,0.0,2.5,14.3
"2022-11-13",6.7,-0.2,2.7,0.0
"2022-11-20",8.0,2.1,5.2,40.5
"2022-11-27",2.2,-3.5,-0.5,15.6
"2022-12-04",3.6,-0.4,1.6,22.6
"2022-12-11",4.5,0.3,2.2,0.7
"2022-12-18",-2.8,-8.7,-5.4,52.7
"2022-12-25",8.4,4.2,6.4,79.5
"2023-01-01",7.5,3.6,5.4,7.7
"2023-01-08",10.2,5.5,7.8,49.3
"2023-01-15",6.9,3.5,5.2,49.5
"2023-01-22",6.3,3.3,4.7,3.8
"2023-01-29",4.8,0.1,2.4,14.4
"2023-02-05",8.2,3.6,5.9,64.2
"2023-02-12",6.4,1.7,3.7,16.3
"2023-02-19",3.9,-1.2,1.4,7.2
"2023-02-26",4.7,0.5,2.1,18.6
"2023-03-05",8.8,2.1,5.0,0.4
"2023-03-12",10.3,1.7,5.7,19.3
"2023-03-19",9.9,3.9,6.8,5.0
"2023-03-26",11.6,3.0,7.1,11.1
"2023-04-02",9.5,3.6,6.4,13.0
"2023-04-09",10.5,3.8,7.0,27.9
"2023-04-16",9.5,4.3,6.6,29.3
"2023-04-23",15.9,6.6,11.1,10.6
"2023-04-30",16.0,10.0,12.8,9.2
"2023-05-07",20.3,8.8,14.5,0.0
"2023-05-14",26.5,14.4,20.2,0.0
"2023-05-21",20.0,11.5,15.7,0.0
"2023-05-28",20.7,10.1,15.5,0.0
"2023-06-04",21.5,12.1,16.8,5.5
"2023-06-11",20.4,12.0,16.0,0.0
"2023-06-18",18.7,10.9,14.7,1.1
"2023-06-25",24.4,13.7,19.0,0.0
"2023-07-02",25.6,15.0,20.3,0.0
"2023-07-09",25.0,14.1,19.5,0.0
"2023-07-16",26.9,15.6,21.3,0.0
"2023-07-23",22.1,13.9,17.8,9.7
"2023-07-30",24.9,13.7,19.5,0.0
"2023-08-06",23.5,15.9,19.3,1.5
"2023-08-13",25.4,16.3,20.3,0.0
"2023-08-20",22.3,12.8,17.1,0.0
"2023-08-27",22.4,14.6,17.9,8.7
"2023-09-03",20.5,12.5,16.1,0.7
"2023-09-10",21.6,12.4,16.6,0.0
