time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum
2022-01-01,0.9,-8.8,-3.9,0.0
2022-01-02,3.2,0.1,1.9,6.9
2022-01-03,2.6,-0.6,1.4,5.6
2022-01-04,2.3,-0.6,0.6,3.5
2022-01-05,0.1,-2.8,-1.5,0.1
2022-01-06,4.3,-2.4,0.3,19.7
2022-01-07,4.4,0.1,2.5,11.2
2022-01-08,2.5,-2.4,0.1,2.4
2022-01-09,6.8,0.5,2.7,0.0
2022-01-10,6.8,-0.1,3.6,5.4
2022-01-11,9.4,6.4,7.6,30.0
2022-01-12,10.1,7.9,8.7,30.4
2022-01-13,11.1,4.7,8.2,0.0
2022-01-14,9.0,4.7,6.7,0.0
2022-01-15,6.7,4.8,5.6,0.0
2022-01-16,7.1,4.6,5.4,0.0
2022-01-17,6.7,3.9,5.3,0.4
2022-01-18,7.1,5.1,6.0,0.0
2022-01-19,8.6,6.0,7.0,3.0
2022-01-20,10.1,5.4,7.4,21.8
2022-01-21,6.9,2.2,4.5,0.0
2022-01-22,6.1,2.2,3.8,0.0
2022-01-23,3.6,1.0,2.4,0.0
2022-01-24,3.5,1.4,2.5,0.0
2022-01-25,3.1,0.5,1.9,0.0
2022-01-26,3.5,1.1,2.0,0.0
2022-01-27,4.1,0.3,1.6,0.0
2022-01-28,7.2,-1.4,1.7,0.0
2022-01-29,6.9,0.3,3.0,4.7
2022-01-30,6.7,3.7,5.1,20.8
2022-01-31,6.4,2.2,3.9,0.0
2022-02-01,5.4,0.0,2.5,0.0
2022-02-02,1.1,-1.3,0.1,0.0
2022-02-03,4.9,1.4,3.2,1.1
2022-02-04,6.9,4.4,5.6,13.4
2022-02-05,7.6,3.8,5.8,0.0
2022-02-06,7.6,0.8,3.7,0.0
2022-02-07,11.5,3.7,7.0,0.4
2022-02-08,7.6,3.2,5.5,4.1
2022-02-09,8.2,5.3,6.5,1.1
2022-02-10,7.0,4.4,6.0,0.0
2022-02-11,8.4,2.6,5.0,0.0
2022-02-12,8.6,0.3,3.8,0.0
2022-02-13,10.5,-0.1,4.6,0.0
2022-02-14,8.1,4.0,6.0,1.8
2022-02-15,8.1,4.1,5.8,0.0
2022-02-16,7.8,2.6,4.9,0.0
2022-02-17,8.7,2.6,5.9,0.0
